Npartners,treatment,longevity.days,thorax.mm
8,8 pregnant females,35,0.64
8,8 pregnant females,37,0.68
8,8 pregnant females,49,0.68
8,8 pregnant females,46,0.72
8,8 pregnant females,63,0.72
8,8 pregnant females,39,0.76
8,8 pregnant females,46,0.76
8,8 pregnant females,56,0.76
8,8 pregnant females,63,0.76
8,8 pregnant females,65,0.76
8,8 pregnant females,56,0.8
8,8 pregnant females,65,0.8
8,8 pregnant females,70,0.8
8,8 pregnant females,63,0.84
8,8 pregnant females,65,0.84
8,8 pregnant females,70,0.84
8,8 pregnant females,77,0.84
8,8 pregnant females,81,0.84
8,8 pregnant females,86,0.84
8,8 pregnant females,70,0.88
8,8 pregnant females,70,0.88
8,8 pregnant females,77,0.92
8,8 pregnant females,77,0.92
8,8 pregnant females,81,0.92
8,8 pregnant females,77,0.94
0,no females added,40,0.64
0,no females added,37,0.7
0,no females added,44,0.72
0,no females added,47,0.72
0,no females added,47,0.72
0,no females added,47,0.76
0,no females added,68,0.78
0,no females added,47,0.8
0,no females added,54,0.84
0,no females added,61,0.84
0,no females added,71,0.84
0,no females added,75,0.84
0,no females added,89,0.84
0,no females added,58,0.88
0,no females added,59,0.88
0,no females added,62,0.88
0,no females added,79,0.88
0,no females added,96,0.88
0,no females added,58,0.92
0,no females added,62,0.92
0,no females added,70,0.92
0,no females added,72,0.92
0,no females added,75,0.92
0,no females added,96,0.92
0,no females added,75,0.94
1,1 pregnant female,46,0.64
1,1 pregnant female,42,0.68
1,1 pregnant female,65,0.72
1,1 pregnant female,46,0.76
1,1 pregnant female,58,0.76
1,1 pregnant female,42,0.8
1,1 pregnant female,48,0.8
1,1 pregnant female,58,0.8
1,1 pregnant female,50,0.82
1,1 pregnant female,80,0.82
1,1 pregnant female,63,0.84
1,1 pregnant female,65,0.84
1,1 pregnant female,70,0.84
1,1 pregnant female,70,0.84
1,1 pregnant female,72,0.84
1,1 pregnant female,97,0.84
1,1 pregnant female,46,0.88
1,1 pregnant female,56,0.88
1,1 pregnant female,70,0.88
1,1 pregnant female,70,0.88
1,1 pregnant female,72,0.88
1,1 pregnant female,76,0.88
1,1 pregnant female,90,0.88
1,1 pregnant female,76,0.92
1,1 pregnant female,92,0.92
1,1 virgin female,21,0.68
1,1 virgin female,40,0.68
1,1 virgin female,44,0.72
1,1 virgin female,54,0.76
1,1 virgin female,36,0.78
1,1 virgin female,40,0.8
1,1 virgin female,56,0.8
1,1 virgin female,60,0.8
1,1 virgin female,48,0.84
1,1 virgin female,53,0.84
1,1 virgin female,60,0.84
1,1 virgin female,60,0.84
1,1 virgin female,65,0.84
1,1 virgin female,68,0.84
1,1 virgin female,60,0.88
1,1 virgin female,81,0.88
1,1 virgin female,81,0.88
1,1 virgin female,48,0.9
1,1 virgin female,48,0.9
1,1 virgin female,56,0.9
1,1 virgin female,68,0.9
1,1 virgin female,75,0.9
1,1 virgin female,81,0.9
1,1 virgin female,48,0.92
1,1 virgin female,68,0.92
8,8 virgin females,16,0.64
8,8 virgin females,19,0.64
8,8 virgin females,19,0.68
8,8 virgin females,32,0.72
8,8 virgin females,33,0.72
8,8 virgin females,33,0.74
8,8 virgin females,30,0.76
8,8 virgin females,42,0.76
8,8 virgin females,42,0.76
8,8 virgin females,33,0.78
8,8 virgin females,26,0.8
8,8 virgin females,30,0.8
8,8 virgin females,40,0.82
8,8 virgin females,54,0.82
8,8 virgin females,34,0.84
8,8 virgin females,34,0.84
8,8 virgin females,47,0.84
8,8 virgin females,47,0.84
8,8 virgin females,42,0.88
8,8 virgin females,47,0.88
8,8 virgin females,54,0.88
8,8 virgin females,54,0.88
8,8 virgin females,56,0.88
8,8 virgin females,60,0.88
8,8 virgin females,44,0.92
